Content ID,User ID,Cont_Type,Category,Interests,Age,React_Type,Datetime,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,disgust,2020-11-07 09:43:50,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,dislike,2021-06-17 12:22:51,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,scared,2021-04-18 05:13:58,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,disgust,2021-01-06 19:13:01,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,interested,2020-08-23 12:25:58,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,peeking,2020-12-07 06:27:54,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,cherish,2021-04-11 17:35:49,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,hate,2021-01-27 08:32:09,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,peeking,2021-04-01 22:54:23,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,love,2020-08-04 05:05:02,positive,65.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,indifferent,2020-11-07 08:36:27,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,scared,2020-11-02 06:28:53,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,interested,2020-11-01 01:16:21,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,hate,2020-10-07 18:39:08,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,scared,2020-09-03 18:51:38,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,super love,2021-02-24 05:09:23,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,peeking,2020-09-23 06:24:11,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,indifferent,2021-02-24 11:37:57,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,"['education', 'studying']",13,interested,2021-05-22 19:44:23,positive,30.0
